,,,,,,,,,,,,
,24기 | 코테스터디,,,,,,,,,,,스터디 참여자 필독 공지
,목표,"1. 코테 스터디를 통해 알고리즘 학습 루틴 형성 및 GIT 포폴 생성
2. 파이썬 풀이 방식 학습으로 유연한 사고 함양
3. 기업 채용 시 코딩 테스트 요구 역량 충족 (백준 실버 - 골드)",,,진행 방식,"1. 출제 문제 데일리 학습 : 풀이하며 어려운 내용, 질문 등은 #코테스터디 채널 내 스레드로 공유, 
2. 실습코치 멘토링 데이 : 주 1일*(금 1h) 질의응답 및 멘토링(서면 / 라이브) 진행 (방식은 담당 코치님과 논의 하에 자유로이 운영)
3. 4주차 진행(w. 실습코치 멘토링) 이후 운영안 추가 공지 예정",,,,,,"1. 해당 스터디는 희망자에 한해 운영됩니다. 이는 수강생 분들의 
적극적인 참여 독려 및 학습 분위기 형성을 위한 방안입니다.

2. 수강생분들 간 활발한 논의 및 함께 성장하는 문화를
지향합니다. 문제가 풀리지 않거나, 더 좋은 코드가 있다면
적극적으로 공유해주세요! 

3. 질의응답 / 멘토링 시간을 활발히 활용해주세요.
모르는 것을 물어보는 것은 정말 멋진 일입니다.
스터디 내에서 활발한 활동 / 적극적인 참여를 해주신 분들
에게 특별한 리워드가 지급될 예정입니다.

4. 4주간 코치님의 주기적인 멘토링을 병행하나, 이후 주차부터는 
자유로이 질의응답을 남기는 시간으로 활용할 예정입니다.
이후 스터디 운영 방식에 대해 상세히 공지해드릴 예정이며, 
4주간 진행되는 스터디는 적응기로 생각해주시되, 열심히 참여해주세요!

5. 기타 질의 (운영 관련 ) 있으실 경우 박정은운영매니저님 께 
문의 부탁드립니다. 

6. 새싹 문제 & 팀별 기록용 노션 : 4/6(월) 안내 예정"
,기간,2026.4.6 - 2026.5.3 (4주) / 이후 2개월 추가 예정,,,주차별 토픽,1주차,2주차,3주차,4주차,,,
,대상 인원,신청자에 한해 별도 진행 예정 / 실 참여 인원 기입,,,,"■ 파이썬 코딩테스트 개요
■ 자료구조","■ 문자열
■ 정규표현식","■ 그래프 탐색
■ 투 포인터","■ DP
■ 큰 수 연산",,,
,,,,,,,,,,,,
,시간표(4/6 - 5/3),,,,,,,,,,,
,1주차,요일,월,화,수,목,금,토,일,,,
,,일자,4/6,4/7,4/8,4/9,4/10,4/11,4/12,,,
,,문제,곱셈(1629),풍선 맞추기(11509),문자열 집합(14425),괄호(9012),가운데를 말해요(1655),AC(5430),절댓값 힙(11286),,,
,,TODO,"- 매일 문제를 풀고, 각자 github에 잔디를 심어주세요
- 모르는 문제가 생기면 구글링 X
- 스터디 채널에서 함께 공유하며 학습하기",,,,실습코치 멘토링 (18:00 - 19:00),"- 매일 문제를 풀고, 각자 github에 잔디를 심어주세요
- 모르는 문제가 생기면 구글링 X
- 스터디 채널에서 함께 공유하며 학습하기",,"■ 파이썬 코딩테스트 개요
■ 자료구조",,
,,링크,1629번: 곱셈,11509번: 풍선 맞추기,14425번: 문자열 집합,9012번: 괄호,1655번: 가운데를 말해요,5430번 - - AC 다국어,11286번: 절댓값 힙,,,
